# OUT-OF-CORPUS QRELS for SQUAD evaluation set on FineWeb
# Generated: 2026-02-07T23:38:23.666152
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 10570
# Questions out-of-corpus: 3010
#
# Format: qid, question, official_answer
#====================================================================

5, What was the theme of Super Bowl 50?, "golden anniversary"
6, What day was the game played on?, February 7  2016
8, What was the theme of Super Bowl 50?, "golden anniversary"
20, What month  day and year did Super Bowl 50 take place? , February 7  2016
40, What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?, 15–1
42, What were the win/loss game stats for the Denver Bronco's regular season in 2015?, 12–4
44, Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?, New England Patriots
47, How many times have the Panthers been in the Super Bowl?, 2
57, Which team held the scoring lead throughout the entire game?, Broncos
59, How many solo tackles did Von Miller make at Super Bowl 50?, five solo tackles
60, Who was limited by Denver's defense?, Newton was limited by Denver's defense
61, How many times was Cam Newton sacked?, seven
63, How many turnovers did Cam Newton have?, three
67, What was the number of solo tackles that Von Miller had in Super Bowl 50?, 5
69, Who won the MVP for the Super Bowl?, Von Miller
70, How many tackles did Von Miller get during the game?, 5
71, How many times was Cam Newton sacked in Super Bowl 50?, seven
73, Which Newton turnover resulted in seven points for Denver?, a fumble
75, What position does Von Miller play?, linebacker
76, How many times was the Panthers' quarterback sacked?, seven
78, What Denver player caused two fumbles for the Panthers?, Von Miller
79, How many tackles did Von Miller accomlish by himself in the game?, five
83, Which performers joined the headliner during the Super Bowl 50 halftime show?, Beyoncé and Bruno Mars
95, How much money did a 1/2 minute commercial cost?, $5 million
100, Who were special guests for the Super Bowl halftime show?, Beyoncé and Bruno Mars
102, What was the cost for a half minute ad?, $5 million
104, What other two famous performers were part of the Super Bowl 50 halftime?, Beyoncé and Bruno Mars
107, Which Super Bowl did Roger Goodell speak about?, the 50th Super Bowl
108, In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?, 2012
110, When did he make the quoted remarks about Super Bowl 50?, early 2012
114, In early 2012  Goodell said that Super Bowl 50 would be what?, spectacular
116, What year did Roger Goodell announce that Super Bowl 50 would be "important"?, 2012
121, What site is located in the San Francisco Bay Area?, Levi's Stadium
125, What three stadiums did the NFL decide between for the game?, New Orleans' Mercedes-Benz Superdome  Miami's Sun Life Stadium  and the San Francisco Bay Area's Levi's Stadium
126, How many sites did the NFL narrow down Super Bowl 50's location to?, three
129, What was the third city that was considered?, San Francisco
134, When were the two finalists for hosting Super Bowl 50 announced?, October 16  2012
139, What was the other finalist besides Levi's Stadium?, Sun Life Stadium
140, When were the finalists announced?, October 16  2012
